Title,Description,Compensation,Address,Employment Type,URL
Auto-Cad / Revit Designer,"We are a leader in the AV industry and a multiple award winner for AV design and consulting services, established in 1992 with offices in New York (Long Island) and London.

We pride ourselves in being a team of not just AV planners, designers, engineers and consultants, but also AV troubleshooters, AV test pilots and educators.

We are seeking to employ persons that share our passion of technology and integration within new architectural environments. We actively engage the latest technology trends with the leading architects around the world to create new, functional and interactive audiovisual environments for our clients.

PRIMARY RESPONSIBILITIES
• Development of conceptual, preliminary and finished products for all project designs, with the assistance of the 
  project manager and/or engineer involved with the project.
• Create audio visual drawings through the use of Building Information Modeling / Revit and Auto CAD, 
  specifically for: floor and ceilings, Elevations, Details, Block diagrams, Renderings, Library / Blocks, Mspace / 
  Pspace, Xref, Architectural, Mechanical and Mill Work.
• Understanding of 3D coordination with other trades such as linking Architect files to our Central model.
• Download drawings and information from the Web, SharePoint or project websites (FTP, etc.).
• Creating new ""Families"" as needed.
• Download drawings and information from the Web, SharePoint or project websites (FTP, etc.).
• Creating new ""Families"" as needed.
• Maintain project directories: deleting all unnecessary back files, creating zip files at the close of each project, creating zip files and PDF files for distribution to architects, AV contractors, etc.

KNOWLEDGE AND SKILL REQUIREMENTS
• Proficient with the current versions of AutoCAD, Revit, MS Word and MS Excel.
• Fluent in reading 2D plans, electronically and hard copy.
• Knowledge of Sketch-up.
• Ability to meet deadlines.
• Ability to perform metric conversions.
• Ability to stay organized and multi-task a must.
• Capable to work independently as well as with a team.
• Possess time management skills.
• Ability to grow and to assist others in their growth.

WORKING CONDITIONS
• Working conditions are normal for an office environment - private office building, open office, immediate access 
  to major highways
• Pleasant and friendly working environment.
• Full - time position Monday - Friday 8:30 AM - 5:30 PM, 1-hour lunch break.
• Overtime may be required when project deadlines deem necessary.","Competitive salary. Benefit package offered - medical, dental and retirement plans, after probationary period is met.",Melville,full-time,https://newyork.craigslist.org/lgi/egr/d/auto-cad-revit-designer/6646272810.html
"Junior Designer/Architect Position- CAD , Drafting + Design","Junior Designer/Architect Position- CAD , Drafting + Design 

Award Winning NYC Based residential and commercial design firm focusing on Luxury Interiors and Innovative Hospitality projects 

Scope of work :
Creating documentation for custom specifications
* Measuring and documenting project spaces
*Space Planning
* Developing AutoCAD plans, layouts, and construction drawings as needed
* Sourcing materials, fixtures, and furnishings
* Assisting with generating detailed line-item estimates for each project
* Maintaining detailed project notes
* Managing project cycles
* Preparing clear detailed manufacturing instructions for our vendors
* Inspecting finished products and installations for quality control
* Organization and filing of paperwork and project materials
* Excellent customer service
* Assisting with accessorizing and art buying
* Overseeing final installation and delivery
- Working on multiple projects 
- Placing orders and following up on those orders 
- Selection/sourcing materials, fabrics, furniture, lighting, artwork

The ideal candidate:- 
will have schooling and experience working on interiors projects, including how to use purchasing and invoicing      software
- will have exceptional AutoCAD skills
- will have the ability to hand render and do 3D in ArchiCAD, Sketch-UP or CAD
- will be able to work independently
- will communicate clearly and professionally with clients, colleagues and vendors 
- will have the ability to manage multiple projects simultaneously, prioritize work flow, and meet time sensitive   deadlines
- will have the ability to create construction drawings for renovations and custom millwork
- will be highly self-motivated and have a positive attitude
- will be an excellent communicator
- will have high level of professionalism

Please submit a cover letter and resume via Email below for consideration. This position is approximately 20 hours a week or more as needed. 
REQUIREMENTS: 

- Strong educational background, preferably BA in Interior Design 
- AutoCad  proficiency
-ArchiCAD, Rhino or Blender a bonus
-Photoshop and Illustrator a bonus
- Interior Design software knowledge (i.e. Studio Designer or Design Manager) 
- Responsible for projects from inception to completion",Salary based on experience and time,"New York, NY",part-time,https://newyork.craigslist.org/mnh/egr/d/junior-designer-architect/6645006266.html
Digital Fabricator and Architectural Model Maker,"We are looking for a candidate who enjoys making museum quality presentation models.  The candidate needs to demonstrate outstanding craftsmanship as well as an attention to detail that will not only satisfy the demands of the project, but go above and beyond to add a creative edge to our presentation models.  Candidates should be well-organized, self-motivated, flexible, and work well in a team.  The ability and interest to explore new technology and methods of production are welcome.

Successful candidates should possess the following attributes:

•	Presentation model making capability
•	Education in architecture
•	Proficiency in Rhinoceros
•	Attention to detail
•	Experience in laser cutting and 3D printing
•	Experience in CNC milling, wood and/or metal fabrication
•	Ability to work in a fast-paced environment on tight deadline 

This position is for full-time, in-house employment ONLY. No freelancers, independent contractors, or consulting companies need apply. Candidates must be legally employable in the U.S. and must be local to NYC or willing to relocate at his or her own cost.  To be considered, please send your resume along with a 5-10 pages PDF (less than 10MB) portfolio of your strongest work.  This is a great position for someone who is passionate about model making and wants to work with the best in the industry. It is not the right position for someone who is looking for an Architect role.

[Company Description] 
Rafael Viñoly Architects was founded in New York in 1983, and has since become known internationally for its architectural and planning projects around the globe. The firm maintains headquarters in New York with branch offices in London, Manchester, and Abu Dhabi, in addition to project offices in Palo Alto and Boston. The unusually diverse work the firm has completed includes award-winning courthouses, museums, performing arts centers, convention centers, athletic facilities, banks, hotels, hospitals, laboratories, recreational venues, residential complexes, and commercial, industrial and educational facilities. Projects range in scale from laboratory casework to large urban commercial and institutional master plans. The firm has also completed several projects involving the restoration and expansion of buildings of significant historical and architectural value. The practice's atelier design intelligence coupled with the capabilities of a large, multi-disciplinary firm produces appropriate, creative responses to program requirements. Intensive research and informed evaluation lead to a variety of design and technical alternatives. These innovations and refinements often result in buildings that function measurably beyond client expectations.",Salary commensurate with experience,,full-time,https://newyork.craigslist.org/mnh/egr/d/digital-fabricator-and/6645027802.html
Trainee CAD/Revit Draftperson,"Ibsecad is a International company that has a successful office in New York and are currently looking to recruit a permanent Trainee CAD/Revit Draftperson to join its expanding team. 

Ibsecad will offer full training schemes within the company and the position available will involve and train you in some of the following tasks; Problem solving, Team and Project management, Lead Co-ordination, Workshop drawings, 3D & 2D drawing production, site surveys, office/site work and building client relations. 

Applicants should possess some of the following... - Good communication skills - Good CAD skills (AutoCAD/Revit 2010 or higher) - Office Software skills (Word, Excel etc) - Problem solving mindset - Ability to work in a team and or alone - Basic Building Services knowledge is advantageous. Due to project requirements we are seeking to employ U.S. Citizens only.

Start date to be discussed upon interview.

For more information go to Ibsecad.net",Based on experience,Midtown,full-time,https://newyork.craigslist.org/mnh/egr/d/trainee-cad-revit-draftperson/6645103601.html
Interior Architect,"Interior Architect (4+ Years Experience)   

Seeking a talented Interior Architect to join the team in our Commercial Interior Studio. Members of the team will work on the front end of projects from competition through to concept, schematic design, design development, construction documentation and construction administration.  

The ideal candidate will have proficiency in Revit, Rhino and the Adobe Creative Suite.   This position will offer significant growth opportunity and autonomy.  The right candidate will be able to run projects with minimal oversight, be the main client contact and work with the studio leader.  The ideal candidate will have a strong technical expertise and vision for the firms future. 

 Candidates with previous experience working on corporate, retail and commercial interiors are desirable. The right candidate will have a minimum of 4 years of experience post graduation from an accredited a",Based on Experience,CDA,full-time,https://newyork.craigslist.org/mnh/egr/d/interior-architect/6645126640.html
Architects - All Levels,"KPA is a national architectural and design firm with primary focus on retail and development projects with offices in New York and Hollywood.  The New York office is working with national retailers on store design, concept development, roll-outs and urban retail buildings and mixed-uses projects across the country.  We are seeking Project Managers,  intermediate intern architects and recent graduates with commitment to excellence in design, quality and client service.   


Here are some key words for candidates we seek: 


Project Manager

-          Professional degree in Architecture 

-          Min 8 years of experience in retail development and store roll-out projects 

-          High degree of experience in design, production, QC/QA, const admin, client interaction and consultant coordination 

-          Strong organization skills and multi-tasking experience 

-          Great communication skills, common sense, leadership and ownership 

-          High level proficiency with AutoCAD, Revit and other office use software 

  

Intermediate Intern Architect / Designer   


-          Professional degree in Architecture or Interior Design 

-          Min 4 years of experience in commercial projects 

-          Experience through site investigation and all project phases 

-          Self-motivation, flexibility and ambition 

-          Great communication, common sense and ownership 

-          High level proficiency with AutoCAD, Sketch-Up, PhotoShop and rendering skills 

  

New Graduates 

-          Professional degree in Architecture or Interior Design 

-          Self-motivation, flexibility and ambition 

-          Great communication, common sense and ownership 

-          High level proficiency with AutoCAD, Sketch-Up, PhotoShop and rendering skills 

Please submit a cover letter with brief introduction, salary requirement and resume to Human Resources.",neg with experience,Midtown,full-time,https://newyork.craigslist.org/mnh/egr/d/architects-all-levels/6645980283.html
SENIOR AV HOME AUTOMATION TECHNICIAN -- RESIDENTIAL,"*****Luxury residential integrator has a rare opening for a senior technician rockstar! Join our team today.****

Do you have 3-5 years experience in the smart home automation industry? Are you looking to take your career to the next level? Do you want to work on the most high-profile residential projects and play with all the coolest new consumer tech toys?

Osbee Industries, Inc. is a leading smart home automation and integration company serving high-end residential clients in the New York/Westchester area. Established more than 20 years ago, we pride ourselves on having a team of professionals that is the best in the industry. We're a Platinum Elite Crestron dealer, have won numerous awards, and we get to play with all the coolest new toys before anyone else. We are growing and looking for experienced technicians to join our team.

REQUIREMENTS:

3+ years installing Crestron systems and all related home automation/entertainment hardware
Deep interest in smart home technology and a passion for learning new technologies
Professionalism
A meticulous attention to detail
Ability to work with a team to solve problems and get the job done
Desire to mentor and teach junior techs
Good communication skills with the ability to interface with clients, contractors, and Osbee project and service managers
A valid U.S. driver's license and a clean driving record
Able to lift up to 25 pounds

BENEFITS:

Osbee provides competitive benefits, including health insurance, optional dental and optical, a 401(k) with matching after one year, 9 paid holidays, and 16 days of Paid Time Off (PTO) per year. We provide support for seminars, certification trainings, and other educational opportunities you'd like to pursue in order to stay at the top of your game and move it forward. And if you apply soon enough you may just make it in time to attend our annual Lakeside Jetski and BBQ Party.

LOCATION:

This is a full-time position at our headquarters/showroom in Harrison, New York, easily accessible by car via 95 and the Hutchinson Parkway, and near Metro North's Harrison station. Technicians spend most of the day at our job sites in NYC and surrounding suburbs.

IMPORTANT: YOU MUST PROVIDE A COVER LETTER WITH YOUR RESUME TO BE CONSIDERED

When applying, please provide your resume along with a cover letter or email message to tell us what interests you in working with Osbee and why you are the perfect candidate to join our team.",Commensurate with experience,Harrison,full-time,https://newyork.craigslist.org/wch/egr/d/senior-av-home-automation/6645963791.html
Job Captain,"SBLM New York architecture firm looks for a highly motivated Job Captain who is a team player with excellent REVIT and communication skills. Ideal candidate will be a well-organized, detail-oriented individual who is accustomed to working on and leading the production of multiple projects. 

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters, as required by the project
Produce deliverables without requiring constant supervision
Coordinate meetings with consultants
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor's Degree in Architecture
3+ years' experience in an Architect's office and working on Commercial / Retail projects
Proficient in Revit and other applicable industry software
General understanding of codes and zoning
General knowledge of building details and construction process
Positive attitude and driven to succeed

Compensation and Benefits:
We offer a competitive salary; our benefits include medical/dental insurance, 401K, long term disability and flexible spending plan. 

Interested candidates should forward their cover letter and resume 
Please include Job Captain in the subject. No phone calls, please.",competitive salary,Midtown West,full-time,https://newyork.craigslist.org/mnh/egr/d/job-captain/6645575733.html
Project Manager/Business Development,"French company specializing in luxury fragrance and cosmetic packaging is looking for a Project Manager/Business Development for its USA sales office based in NY City to be responsible for US customer accounts.

- To understand and prepare technical briefs related to luxury packaging.
- To transmit the brief to the sales and technical teams in France in written and verbal reports.
- To keep the link with existing customers and develop new customers in effort to increase business.
- To validate customer planning in partnership with the French logistic team and the customer logistic team.
- Project follow-up (drawing approval, production samples approval, quality range boards submission, etc)
- Payment follow-up in partnership with the financial director in France.
- Organization and supervision for exhibitions and special marketing events in USA
- SAP portal knowledge is a plus
- French speaking is a plus
- Business or technical degree is a plus.


This is an excellent opportunity to develop an existing business in a growing market.","Base Salary 45K, plus bonus and benefits, based on experience.",Midtown,full-time,https://newyork.craigslist.org/mnh/egr/d/project-manager-business/6645877565.html
Full time AutoCAD Drafting,"Looking for experienced Full time drafting professional with sound knowledge in their skill for Residential/Commercial Projects

Applicant must be proficient in either one of the area such as Architectural/Structural/MEP/SD1&2/Fire Alarm

Hiring immediately to work in Bronx Office

Please send a current resume and salary expectations. Start immediately.",as per industry standards,any borough,full-time,https://newyork.craigslist.org/que/egr/d/full-time-autocad-drafting/6645667221.html
